               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.019128,            0.020023,             0.01041,             0.93504,             0.87879,             0.93857,             0.82402,            0.011303,            0.013635,           0.0093521,            0.001189,            0.001189,            0.001189
                  91,            0.018927,            0.019635,            0.010473,             0.92585,             0.88583,               0.939,             0.82743,             0.01113,            0.013513,           0.0092976,             0.00109,             0.00109,             0.00109
                  92,            0.018915,            0.019845,            0.010022,             0.93872,             0.88136,             0.94123,             0.83003,            0.010988,            0.013424,           0.0089153,            0.000991,            0.000991,            0.000991
                  93,            0.018548,            0.019683,           0.0099508,              0.9338,             0.87804,             0.93792,             0.83275,            0.010935,            0.013451,           0.0090395,            0.000892,            0.000892,            0.000892
                  94,            0.017919,             0.01846,           0.0096607,             0.93242,             0.88326,             0.94095,             0.83242,            0.010925,             0.01342,           0.0086638,            0.000793,            0.000793,            0.000793
                  95,            0.018488,            0.019203,           0.0096412,               0.936,             0.88525,             0.94155,             0.83562,            0.010924,            0.013429,           0.0086229,            0.000694,            0.000694,            0.000694
                  96,            0.018014,            0.019344,           0.0095593,             0.93166,             0.88497,              0.9391,             0.83121,            0.010831,            0.013407,           0.0083938,            0.000595,            0.000595,            0.000595
                  97,            0.018118,            0.019019,           0.0093605,             0.93803,             0.88211,             0.94029,             0.83613,            0.010717,            0.013373,           0.0084053,            0.000496,            0.000496,            0.000496
                  98,            0.016865,            0.018144,           0.0092743,             0.93994,             0.88212,             0.94027,             0.83737,            0.010727,            0.013383,           0.0082457,            0.000397,            0.000397,            0.000397
                  99,            0.017334,            0.018544,            0.009156,             0.93683,             0.88518,             0.93924,             0.83735,              0.0106,            0.013328,           0.0081859,            0.000298,            0.000298,            0.000298
